Würfel Angriff:     Würfel Verteidigung:     Ausgang:
2 1 1               4 6                      Sieg der Verteidigung
2 1 1               5 1                      Sieg der Verteidigung
2 1 1               5 2                      Sieg der Verteidigung
2 1 1               5 3                      Sieg der Verteidigung
2 1 1               5 4                      Sieg der Verteidigung
2 1 1               5 5                      Sieg der Verteidigung
2 1 1               5 6                      Sieg der Verteidigung
2 1 1               6 1                      Sieg der Verteidigung
2 1 1               6 2                      Sieg der Verteidigung
2 1 1               6 3                      Sieg der Verteidigung
2 1 1               6 4                      Sieg der Verteidigung
2 1 1               6 5                      Sieg der Verteidigung
2 1 1               6 6                      Sieg der Verteidigung
2 1 2               1 1                      Sieg des Angriffs
2 1 2               1 2                      Gleichstand! YAY
2 1 2               1 3                      Gleichstand! YAY
2 1 2               1 4                      Gleichstand! YAY
2 1 2               1 5                      Gleichstand! YAY
2 1 2               1 6                      Gleichstand! YAY
2 1 2               2 1                      Gleichstand! YAY
2 1 2               2 2                      Sieg der Verteidigung
2 1 2               2 3                      Sieg der Verteidigung
2 1 2               2 4                      Sieg der Verteidigung
2 1 2               2 5                      Sieg der Verteidigung
2 1 2               2 6                      Sieg der Verteidigung
2 1 2               3 1                      Gleichstand! YAY
2 1 2               3 2                      Sieg der Verteidigung
2 1 2               3 3                      Sieg der Verteidigung
2 1 2               3 4                      Sieg der Verteidigung
2 1 2               3 5                      Sieg der Verteidigung
2 1 2               3 6                      Sieg der Verteidigung
2 1 2               4 1                      Gleichstand! YAY
2 1 2               4 2                      Sieg der Verteidigung
2 1 2               4 3                      Sieg der Verteidigung
2 1 2               4 4                      Sieg der Verteidigung
2 1 2               4 5                      Sieg der Verteidigung
2 1 2               4 6                      Sieg der Verteidigung
2 1 2               5 1                      Gleichstand! YAY
2 1 2               5 2                      Sieg der Verteidigung
2 1 2               5 3                      Sieg der Verteidigung
2 1 2               5 4                      Sieg der Verteidigung
2 1 2               5 5                      Sieg der Verteidigung
2 1 2               5 6                      Sieg der Verteidigung
2 1 2               6 1                      Gleichstand! YAY
2 1 2               6 2                      Sieg der Verteidigung
2 1 2               6 3                      Sieg der Verteidigung
2 1 2               6 4                      Sieg der Verteidigung
2 1 2               6 5                      Sieg der Verteidigung
2 1 2               6 6                      Sieg der Verteidigung
2 1 3               1 1                      Sieg des Angriffs
2 1 3               1 2                      Sieg des Angriffs
2 1 3               1 3                      Gleichstand! YAY
2 1 3               1 4                      Gleichstand! YAY
2 1 3               1 5                      Gleichstand! YAY
2 1 3               1 6                      Gleichstand! YAY
2 1 3               2 1                      Sieg des Angriffs
2 1 3               2 2                      Gleichstand! YAY
2 1 3               2 3                      Sieg der Verteidigung
2 1 3               2 4                      Sieg der Verteidigung
2 1 3               2 5                      Sieg der Verteidigung
2 1 3               2 6                      Sieg der Verteidigung
2 1 3               3 1                      Gleichstand! YAY
2 1 3               3 2                      Sieg der Verteidigung
2 1 3               3 3                      Sieg der Verteidigung
2 1 3               3 4                      Sieg der Verteidigung
2 1 3               3 5                      Sieg der Verteidigung
2 1 3               3 6                      Sieg der Verteidigung
